pontoId	lat	lon	lat_pred	lon_pred	erro_loc
958	-8.072463	-34.900681	-8.07251331902	-34.900599462	10.5777601213
699	-8.073533	-34.900551	-8.07347968103	-34.900551612	5.92918159614
1727	-8.06924	-34.897385	-8.06916039166	-34.8973733413	8.9446179009
1915	-8.068712	-34.889622	-8.06877050147	-34.8895032142	14.6061696057
2872	-8.062199	-34.901802	-8.06227898754	-34.9016624369	17.7538821725
965	-8.072449	-34.893135	-8.07106620793	-34.8952164165	275.956002924
2340	-8.066152	-34.889042	-8.06617114452	-34.889108989	7.67622423698
1737	-8.069225	-34.896503	-8.06933555887	-34.8965474474	13.2316849643
2318	-8.066321	-34.889492	-8.06636587018	-34.889618472	14.7908275306
405	-8.075457	-34.896286	-8.07563449602	-34.8958520606	51.6897641939
2031	-8.068451	-34.891434	-8.06857431856	-34.8912920491	20.7909412225
2666	-8.063986	-34.897175	-8.06425413952	-34.8971079696	30.7154632681
2766	-8.063355	-34.886578	-8.06378305284	-34.886854401	56.4935392549
2709	-8.06376	-34.893944	-8.06384520944	-34.8940673482	16.5587275971
2662	-8.064005	-34.901463	-8.06400637526	-34.9014792911	1.80008187606
2536	-8.065165	-34.889545	-8.06533595319	-34.8894120524	23.9913567938
1782	-8.069095	-34.899643	-8.06912585083	-34.8994866473	17.5519964962
637	-8.073983	-34.900448	-8.07403009039	-34.9003269962	14.3137626677
1692	-8.069324	-34.89904	-8.06932556716	-34.8990771417	4.09279100568
203	-8.076425	-34.895607	-8.07640227428	-34.8957377661	14.6164054674
1517	-8.069779	-34.890491	-8.06929546445	-34.8910032695	77.9202467511
2402	-8.065819	-34.891068	-8.06568207171	-34.8911875638	20.1270302085
201	-8.076427	-34.89571	-8.07639958377	-34.8957838034	8.67824388645
2208	-8.067013	-34.900986	-8.06698825897	-34.9009795196	2.84208377043
828	-8.072862	-34.895908	-8.07284073586	-34.8960450394	15.2712338909
461	-8.075146	-34.891918	-8.07498200606	-34.8911347669	88.1351105259
2566	-8.064956	-34.885303	-8.06497918883	-34.8851945247	12.2177890224
2790	-8.063076	-34.901356	-8.06304904268	-34.9013719629	3.47472849948
59	-8.077353	-34.8988	-8.07736910253	-34.8988593341	6.77314893625
1318	-8.070491	-34.893162	-8.0705905641	-34.8931446608	11.2343932216
1104	-8.071577	-34.892117	-8.07111451804	-34.8920636461	51.76002361
1542	-8.069708	-34.898113	-8.06983749263	-34.8976930367	48.4256037942
311	-8.075944	-34.89986	-8.07567227967	-34.899968386	32.4848363235
120	-8.076955	-34.899536	-8.07692749678	-34.8995136116	3.92783142711
2347	-8.066082	-34.888832	-8.06610339155	-34.8889552058	13.7713017139
2410	-8.06581	-34.890671	-8.06567642837	-34.8911725937	57.1853920777
2731	-8.063602	-34.894817	-8.06350272162	-34.8946015485	26.1632488154
1993	-8.068563	-34.889477	-8.0684732929	-34.8895612543	13.6214041025
2929	-8.060599	-34.905338	-8.06065611262	-34.9052783836	9.1329449512
1872	-8.068839	-34.888863	-8.06878147035	-34.8888831862	6.77205021595
214	-8.076403	-34.895988	-8.07638149513	-34.8958815892	11.9565427526
986	-8.072392	-34.893532	-8.07249707207	-34.8931580188	42.7983588284
1686	-8.069342	-34.895348	-8.06930313684	-34.8952785833	8.77952920751
2075	-8.068146	-34.892071	-8.06824765093	-34.8920289249	12.2154342143
1864	-8.06885	-34.888832	-8.06876279197	-34.8889436237	15.6542592909
616	-8.074121	-34.890335	-8.07405650527	-34.8902940517	8.47073133414
172	-8.076541	-34.899689	-8.07603535089	-34.8998486487	58.9087250348
2214	-8.066986	-34.894421	-8.06693735196	-34.8945266749	12.8303287816
2510	-8.065392	-34.897007	-8.06537740957	-34.8969847565	2.93755109612
690	-8.073602	-34.890503	-8.07395328322	-34.8903262263	43.6406367263
693	-8.073597	-34.890488	-8.07364259346	-34.8904299018	8.16173066221
1035	-8.07211	-34.894859	-8.0729407419	-34.8946516432	95.1533053108
2528	-8.065239	-34.886181	-8.0653291002	-34.8881224085	213.974198781
1054	-8.071981	-34.897209	-8.07214858909	-34.8968248934	46.2114802217
2179	-8.067161	-34.890068	-8.06673303315	-34.890305321	54.2886117095
294	-8.076038	-34.899845	-8.07590297284	-34.8998906928	15.8346245109
2586	-8.064758	-34.897041	-8.06485705605	-34.8970419066	11.0149825174
2060	-8.068253	-34.890064	-8.06869492591	-34.8902370274	52.703018365
944	-8.072493	-34.896759	-8.07263219282	-34.8966233551	21.5073364145
2324	-8.066267	-34.893406	-8.0662517276	-34.8935068532	11.2325343621
384	-8.075522	-34.900009	-8.0758421137	-34.8998788281	38.3716115242
2234	-8.066894	-34.894615	-8.06692968568	-34.89455059	8.1259176272
1569	-8.069644	-34.896408	-8.06965805173	-34.8963744202	4.01355623948
258	-8.076235	-34.895405	-8.07639969072	-34.8959941411	67.3954529927
2722	-8.063666	-34.896717	-8.06367625163	-34.8967182516	1.14822741434
2314	-8.06635	-34.896816	-8.06645568256	-34.8963376732	53.9565102514
610	-8.074162	-34.89032	-8.07415445555	-34.8902437645	8.43479567488
1958	-8.06861	-34.896439	-8.06865643288	-34.8964616076	5.73171330227
2116	-8.067904	-34.892326	-8.06789698992	-34.8922995622	3.01322172035
615	-8.074126	-34.90041	-8.07423433136	-34.9003201547	15.5865853641
654	-8.073852	-34.890415	-8.07393744647	-34.8903358497	12.8920410487
2670	-8.063961	-34.894402	-8.06396135344	-34.8943455429	6.21579357701
109	-8.077028	-34.89761	-8.07705678975	-34.8981621839	60.8751954358
1138	-8.071302	-34.900803	-8.07162375026	-34.9009025387	37.4176885979
1661	-8.069407	-34.895309	-8.06925977216	-34.8955285755	29.1956977227
358	-8.075687	-34.893345	-8.07503483727	-34.8948222783	178.071734702
2626	-8.064293	-34.893597	-8.06468925969	-34.893604159	44.0691156023
1714	-8.069274	-34.895439	-8.06927642507	-34.8953360178	11.3409252001
2249	-8.066818	-34.893753	-8.06683919429	-34.8935774411	19.4712473374
788	-8.072995	-34.896603	-8.07290580711	-34.8966129448	9.97804575889
365	-8.075642	-34.899963	-8.0752658703	-34.8996540372	53.9092221291
2897	-8.061396	-34.903305	-8.06139877086	-34.903191846	12.4616262793
721	-8.073289	-34.890606	-8.07329119679	-34.8905625302	4.79194402079
1261	-8.070683	-34.892117	-8.07064324849	-34.8921515347	5.83039157409
126	-8.076916	-34.897266	-8.07677332133	-34.8970103942	32.3043361663
2400	-8.06582	-34.890938	-8.06568984919	-34.8912519979	37.4766326509
1311	-8.070516	-34.900906	-8.07038426345	-34.9006656541	30.2446359468
2682	-8.0639	-34.894276	-8.06395451404	-34.894313169	7.3136582149
1705	-8.069285	-34.888077	-8.06937894903	-34.888194762	16.649954621
2013	-8.068495	-34.891293	-8.06882543395	-34.8911240075	41.1845429636
2386	-8.065832	-34.891727	-8.06574978538	-34.8920680382	38.6434893584
98	-8.077102	-34.897942	-8.0770592578	-34.8981711328	25.6694787682
2677	-8.063921	-34.885921	-8.06426986279	-34.8860340494	40.739538466
2339	-8.066155	-34.893528	-8.0662517276	-34.8935068532	11.0047087872
78	-8.077242	-34.898445	-8.07720515445	-34.8986287224	20.6371134307
183	-8.076477	-34.899712	-8.07628424062	-34.8997893712	23.0643919288
801	-8.072936	-34.895634	-8.07294049752	-34.8954589262	19.2808910723
